iter	Passed	Remaining
403	8517	12565
404	8538	12544
405	8558	12521
406	8579	12500
407	8601	12480
408	8624	12461
409	8646	12442
410	8667	12420
411	8688	12399
412	8710	12380
413	8733	12362
414	8756	12343
415	8779	12324
416	8803	12307
417	8827	12290
418	8852	12275
419	8875	12256
420	8898	12238
421	8923	12222
422	8947	12205
423	8970	12186
424	8992	12166
425	9016	12149
426	9040	12131
427	9067	12117
428	9090	12099
429	9130	12103
430	9153	12083
431	9175	12064
432	9199	12046
433	9222	12027
434	9247	12010
435	9270	11992
436	9290	11969
437	9312	11949
438	9336	11930
439	9356	11908
440	9377	11887
441	9398	11864
442	9419	11843
443	9440	11821
444	9462	11801
445	9486	11783
446	9509	11763
447	9530	11742
448	9550	11720
449	9571	11698
450	9592	11677
451	9612	11654
452	9633	11632
453	9653	11609
454	9676	11590
455	9700	11572
456	9721	11550
457	9743	11529
458	9764	11508
459	9785	11487
460	9805	11464
461	9826	11442
462	9846	11420
463	9868	11399
464	9890	11379
465	9915	11362
466	9936	11340
467	9957	11319
468	9978	11298
469	9999	11276
470	10021	11255
471	10042	11234
472	10063	11212
473	10084	11191
474	10107	11171
475	10151	11174
476	10173	11154
477	10193	11132
478	10214	11110
479	10235	11088
480	10257	11067
481	10278	11045
482	10298	11023
483	10320	11002
484	10344	10984
485	10365	10962
486	10386	10940
487	10410	10922
488	10420	10889
489	10443	10869
490	10457	10840
491	10483	10824
492	10509	10807
493	10534	10790
494	10561	10774
495	10585	10756
496	10612	10741
497	10638	10723
498	10663	10706
499	10688	10688
500	10710	10667
501	10732	10646
502	10755	10626
503	10780	10609
504	10801	10587
505	10822	10566
506	10843	10544
507	10865	10522
508	10885	10500
509	10907	10479
510	10929	10459
511	10952	10438
512	10958	10402
513	10981	10383
514	11005	10364
515	11026	10342
516	11043	10317
517	11066	10297
518	11087	10275
519	11107	10253
520	11129	10232
521	11150	10210
522	11196	10211
523	11219	10191
524	11240	10169
525	11262	10148
526	11282	10126
527	11301	10102
528	11323	10082
529	11345	10061
530	11354	10029
531	11376	10007
532	11397	9986
533	11419	9965
534	11444	9946
535	11466	9926
536	11488	9905
537	11509	9883
538	11530	9861
539	11551	9839
540	11571	9817
541	11592	9795
542	11613	9774
543	11637	9754
544	11662	9736
545	11683	9714
546	11704	9692
547	11724	9670
548	11745	9648
549	11766	9627
550	11788	9606
551	11809	9584
552	11830	9562
553	11852	9542
554	11876	9522
555	11898	9501
556	11918	9479
557	11939	9457
558	11960	9435
559	11981	9413
560	12002	9392
561	12022	9370
562	12043	9348
563	12066	9327
564	12090	9308
565	12111	9287
566	12132	9265
567	12153	9243
568	12174	9221
569	12183	9191
570	12229	9188
571	12250	9166
572	12273	9146
573	12298	9127
574	12320	9106
575	12341	9084
576	12363	9063
577	12386	9043
578	12408	9022
579	12431	9001
580	12452	8980
581	12475	8959
582	12499	8940
583	12519	8918
584	12540	8896
585	12560	8873
586	12582	8852
587	12605	8832
588	12629	8812
589	12656	8794
590	12684	8778
591	12712	8761
592	12738	8743
593	12767	8726
594	12795	8709
595	12822	8691
596	12847	8672
597	12872	8653
598	12903	8637
599	12931	8621
600	12958	8602
601	12985	8584
602	13010	8566
603	13036	8547
604	13060	8527
605	13088	8509
606	13114	8491
607	13140	8472
608	13162	8450
609	13183	8428
610	13204	8406
611	13231	8388
612	13261	8372
613	13282	8349
614	13306	8329
615	13330	8309
616	13351	8288
617	13372	8265
618	13393	8244
619	13415	8222
620	13437	8200
621	13458	8179
622	13480	8157
623	13503	8136
624	13533	8119
625	13560	8101
626	13585	8081
627	13609	8061
628	13634	8041
629	13658	8021
630	13683	8002
631	13709	7982
632	13735	7963
633	13761	7944
634	13787	7925
635	13812	7905
636	13826	7879
637	13853	7860
638	13878	7840
639	13904	7821
640	13928	7800
641	13953	7780
642	13980	7762
643	14007	7743
644	14032	7723
645	14056	7702
646	14080	7682
647	14106	7662
648	14131	7642
649	14156	7622
650	14179	7601
651	14205	7582
652	14234	7564
653	14289	7559
654	14314	7539
655	14339	7519
656	14366	7500
657	14392	7480
658	14420	7461
659	14450	7444
660	14476	7424
661	14501	7404
662	14526	7383
663	14551	7363
664	14577	7343
665	14602	7323
666	14632	7305
667	14658	7285
668	14684	7265
669	14710	7245
670	14734	7224
671	14763	7205
672	14790	7186
673	14814	7165
674	14839	7144
675	14866	7125
676	14892	7105
677	14920	7086
678	14947	7066
679	14973	7046
680	14997	7025
681	15024	7005
682	15051	6985
683	15078	6965
684	15102	6944
685	15129	6925
686	15155	6904
687	15179	6883
688	15205	6863
689	15231	6843
690	15257	6822
691	15313	6815
692	15342	6796
693	15366	6775
694	15390	6754
695	15416	6733
696	15440	6712
697	15462	6689
698	15484	6667
699	15504	6644
700	15527	6622
701	15550	6601
702	15575	6580
703	15600	6559
704	15623	6537
705	15645	6515
706	15666	6492
707	15687	6470
708	15709	6447
709	15733	6426
710	15761	6406
711	15789	6386
712	15815	6366
713	15842	6345
714	15866	6324
715	15889	6302
716	15911	6280
717	15934	6258
718	15957	6236
719	15981	6215
720	16004	6193
721	16027	6171
722	16049	6148
723	16070	6126
724	16091	6103
725	16112	6080
726	16133	6058
727	16154	6035
728	16175	6013
729	16198	5991
730	16223	5969
731	16244	5947
732	16266	5925
733	16287	5902
734	16308	5879
735	16356	5867
736	16379	5845
737	16402	5823
738	16427	5802
739	16449	5779
740	16469	5756
741	16490	5733
742	16511	5711
743	16532	5688
744	16553	5666
745	16575	5643
746	16597	5621
747	16605	5594
748	16628	5572
749	16653	5551
750	16684	5531
751	16710	5511
752	16736	5489
753	16761	5468
754	16785	5447
755	16812	5426
756	16838	5405
757	16862	5383
758	16883	5360
759	16905	5338
760	16926	5315
761	16946	5293
762	16967	5270
763	16988	5247
764	17010	5225
765	17034	5203
766	17059	5182
767	17082	5160
768	17106	5138
769	17128	5116
770	17151	5094
771	17172	5071
772	17194	5049
773	17216	5026
774	17240	5005
775	17267	4984
776	17293	4963
777	17300	4936
778	17326	4915
779	17350	4893
780	17466	4897
781	17490	4875
782	17516	4854
783	17540	4832
784	17566	4811
785	17589	4788
