iter	RMSE
193	7.56481886
194	7.559295564
195	7.549190563
196	7.538387236
197	7.535584873
198	7.532755924
199	7.526275864
200	7.512350845
201	7.512084648
202	7.504403344
203	7.503834698
204	7.497639854
205	7.492103115
206	7.489492239
207	7.483520213
208	7.482687358
209	7.477472646
210	7.476231128
211	7.475855631
212	7.465465445
213	7.459385212
214	7.455863395
215	7.449811331
216	7.448855672
217	7.437613121
218	7.427836322
219	7.419935229
220	7.41030226
221	7.400640435
222	7.397822587
223	7.392962893
224	7.38841145
225	7.380459115
226	7.375681516
227	7.37361094
228	7.365376836
229	7.358775259
230	7.352195169
231	7.346249612
232	7.342955886
233	7.335964351
234	7.332033327
235	7.330471237
236	7.326298726
237	7.321039262
238	7.31929904
239	7.318860952
240	7.310342152
241	7.309482951
242	7.302338562
243	7.290128768
244	7.282401674
245	7.274962366
246	7.269336869
247	7.262304181
248	7.254061743
249	7.247855496
250	7.246542007
251	7.237241005
252	7.23663727
253	7.235353863
254	7.232313427
255	7.231548572
256	7.214915469
257	7.207897811
258	7.199643852
259	7.188826776
260	7.186695306
261	7.174815215
262	7.164236647
263	7.153705872
264	7.149188624
265	7.144738642
266	7.137407846
267	7.125595009
268	7.115222036
269	7.109410752
270	7.098508875
271	7.094421861
272	7.090224947
273	7.080230135
274	7.075385088
275	7.068480253
276	7.057466441
277	7.054208956
278	7.04473811
279	7.043995039
280	7.042353313
281	7.035162347
282	7.02447537
283	7.020533143
284	7.017470309
285	7.009680362
286	7.00303377
287	6.988183227
288	6.983238084
289	6.973207254
290	6.966654689
291	6.961491518
292	6.951801326
293	6.9410475
294	6.928535235
295	6.925914006
296	6.911495796
297	6.909565031
298	6.908721452
299	6.901580875
300	6.896512516
301	6.887879139
302	6.887727549
303	6.887064838
304	6.880579293
305	6.874857919
306	6.87400103
307	6.869796691
308	6.861476051
309	6.855189566
310	6.845869953
311	6.833136043
312	6.824605841
313	6.822015213
314	6.816538314
315	6.808127052
316	6.800555391
317	6.791594356
318	6.788820206
319	6.788328196
320	6.776635701
321	6.776151344
322	6.769374388
323	6.769256862
324	6.769038373
325	6.760542284
326	6.751294626
327	6.744691365
328	6.738686755
329	6.736880708
330	6.729556747
331	6.725103276
332	6.724801045
333	6.721436796
334	6.712398869
335	6.706489212
336	6.699950926
337	6.69835426
338	6.690300303
339	6.685190629
340	6.677321696
341	6.67574929
342	6.665165753
343	6.662185669
344	6.661534973
345	6.651109925
346	6.649753593
347	6.645366088
348	6.635601495
349	6.632487694
350	6.624361524
351	6.616488276
352	6.612664939
353	6.609499619
354	6.605355368
355	6.599687861
356	6.590041754
357	6.581049219
358	6.577387308
359	6.57263195
360	6.562487165
361	6.561052516
362	6.559888897
363	6.55937997
364	6.553834227
365	6.550108634
366	6.548138742
367	6.545562161
368	6.540946368
369	6.540520142
370	6.532517593
371	6.527115007
372	6.525208105
373	6.519327155
374	6.512464088
375	6.507594131
376	6.503088261
377	6.498772792
378	6.497453983
379	6.491200781
380	6.485263549
381	6.480226912
382	6.471015907
383	6.464485952
384	6.46154069
385	6.46094011
386	6.456319491
387	6.454054008
388	6.449566909
389	6.44543731
390	6.438780982
391	6.433975809
392	6.428757467
393	6.423434229
394	6.419299771
395	6.416726888
396	6.412935078
397	6.404046821
398	6.396158264
399	6.391355587
400	6.38196562
401	6.375335812
402	6.371190222
403	6.363549501
404	6.354592154
405	6.35042172
406	6.341662002
407	6.332219968
408	6.324404733
409	6.322636484
410	6.320440327
411	6.313170161
412	6.31070346
413	6.305687062
414	6.301352557
415	6.299456083
416	6.2872153
417	6.283208085
418	6.281193007
419	6.273553258
420	6.267227743
421	6.260626194
422	6.248715197
423	6.242008947
424	6.233132245
425	6.221988056
426	6.215403605
427	6.208285934
428	6.201352224
429	6.196634821
430	6.196085351
431	6.195056617
432	6.18703865
433	6.185954361
434	6.179085372
435	6.17551929
436	6.174343693
437	6.16921404
438	6.163029063
439	6.161113819
440	6.15368705
441	6.150168973
442	6.148171
443	6.140613828
444	6.139838358
445	6.132894091
446	6.129149683
447	6.124075707
448	6.119860394
449	6.117348737
450	6.110341576
451	6.110168318
452	6.104674874
453	6.102724658
454	6.097964273
455	6.095630291
456	6.090573064
457	6.078942889
458	6.073719352
459	6.06962233
460	6.066837845
461	6.062976353
462	6.059147227
463	6.053409283
464	6.045519161
465	6.039074507
466	6.035583774
467	6.031925102
468	6.028979511
469	6.026625198
470	6.020056317
471	6.012824051
472	6.009284806
473	6.006653715
474	5.999930648
475	5.999219182
476	5.997519925
477	5.996682526
478	5.996425871
479	5.993410723
480	5.986916472
481	5.982156656
482	5.982060458
483	5.978845137
484	5.9729185
485	5.97182315
486	5.970734014
487	5.965349775
488	5.964917367
489	5.964703552
490	5.96392767
491	5.954287556
492	5.949959532
493	5.943788551
494	5.931329218
495	5.92767664
496	5.924252963
497	5.920064105
498	5.916629498
499	5.912711822
500	5.908686871
501	5.897387441
502	5.890277538
503	5.882987217
504	5.879310788
505	5.875096024
506	5.869910215
507	5.864411361
508	5.861067177
509	5.856288862
510	5.851167778
511	5.849372676
512	5.849266755
513	5.846777412
514	5.837131361
515	5.831382363
516	5.831373735
517	5.824848385
518	5.819656175
519	5.816640907
520	5.809075047
521	5.803906474
522	5.802617727
523	5.801028479
524	5.796455008
525	5.791699794
526	5.790284996
527	5.789015549
528	5.785305277
529	5.772566888
530	5.772158247
531	5.765968709
532	5.762780435
533	5.762105928
534	5.754453394
535	5.753364164
536	5.748372782
537	5.744473344
538	5.74173768
539	5.731923539
540	5.729379762
541	5.725396016
542	5.716445321
543	5.713676324
544	5.705931549
545	5.70259012
546	5.700002209
547	5.698027927
548	5.690670138
549	5.685123679
550	5.680438473
551	5.677057118
552	5.673697007
553	5.670114352
554	5.667289171
555	5.659926263
556	5.658816526
557	5.655539414
558	5.653662606
559	5.650007716
560	5.642972331
561	5.641228551
562	5.6383258
563	5.632060862
564	5.631133682
565	5.62453782
566	5.619586842
567	5.618123737
568	5.609840735
569	5.609682258
570	5.604558951
571	5.599383834
572	5.596273756
573	5.58957798
574	5.585008115
575	5.583347386
576	5.578146331
577	5.571137541
578	5.563233388
579	5.560712666
580	5.559287925
581	5.554698311
582	5.55243274
583	5.55107604
584	5.549752254
585	5.547039939
586	5.542995971
587	5.538223443
588	5.535256426
589	5.53490668
590	5.530126953
591	5.526953443
592	5.523076799
593	5.518170999
594	5.511605979
595	5.501910329
596	5.496201537
597	5.493103482
598	5.490286894
599	5.481744761
600	5.477584535
601	5.475870731
602	5.475178248
603	5.47082298
604	5.468356589
605	5.459696623
606	5.454999957
607	5.449055356
608	5.44755535
609	5.443789612
610	5.441506814
611	5.438590134
612	5.434866503
613	5.43223837
614	5.427775514
615	5.424906683
616	5.423373384
617	5.419008429
618	5.416348229
619	5.412450445
620	5.4100263
621	5.405655982
622	5.401872066
623	5.395845755
624	5.389518926
625	5.383699591
626	5.378799233
627	5.375190514
628	5.373612518
629	5.371052605
630	5.366887947
631	5.362886222
632	5.358241691
633	5.356391992
634	5.352743567
635	5.350078442
636	5.350059618
637	5.346832574
638	5.341831093
639	5.337624455
640	5.335248551
641	5.33157226
642	5.32853427
643	5.324347721
644	5.321561307
645	5.321260709
646	5.319576598
647	5.315348133
648	5.310885047
649	5.307037774
650	5.30301484
651	5.301129477
652	5.297963313
653	5.293324402
654	5.291123685
655	5.288257081
656	5.2846619
657	5.280652899
658	5.276395677
659	5.27257504
660	5.268030462
661	5.266848564
662	5.262532904
663	5.257713316
664	5.255025503
665	5.252953103
666	5.245428043
667	5.240787766
668	5.23958199
669	5.236154252
670	5.234902527
671	5.232371499
672	5.229750998
673	5.227574442
674	5.225716205
675	5.219518874
676	5.218437672
677	5.216144037
678	5.214045874
679	5.211435565
680	5.20849803
681	5.206030464
682	5.200286989
683	5.198278923
684	5.194237417
685	5.190691424
686	5.186133391
687	5.179814215
688	5.178186123
689	5.173644008
690	5.169980598
691	5.163287681
692	5.160542314
693	5.152796835
694	5.148246527
695	5.144687186
696	5.143906157
697	5.141825005
698	5.133455799
699	5.130021911
700	5.128504432
701	5.126347735
702	5.12386861
703	5.121594687
704	5.119501037
705	5.116514969
706	5.114849861
707	5.113659494
708	5.111395874
709	5.108907568
710	5.102593784
711	5.099354709
712	5.096276213
713	5.092447812
714	5.086125649
715	5.08251261
716	5.080289523
717	5.078284892
718	5.076039936
719	5.072874922
720	5.070141542
721	5.065287084
722	5.063341494
723	5.061451327
724	5.057814228
725	5.057647096
726	5.053682519
727	5.050323603
728	5.046143296
729	5.040281998
730	5.03557286
731	5.033616689
732	5.029563142
733	5.028895544
734	5.027021873
735	5.022002004
736	5.020294318
737	5.013988991
738	5.00993898
739	5.006723473
740	5.003437124
741	5.003171872
742	4.999221089
743	4.996865337
744	4.991176352
745	4.988169345
746	4.986036336
747	4.986031666
748	4.98418084
749	4.979478645
750	4.974840354
751	4.969448767
752	4.968023559
753	4.966403728
754	4.964938043
755	4.961189596
756	4.95860468
757	4.956828349
758	4.95273182
759	4.949237118
760	4.947034738
761	4.944819549
762	4.942851171
763	4.942095288
764	4.938728967
765	4.937083013
766	4.937050406
767	4.930176216
768	4.926037755
769	4.920461771
770	4.912822588
771	4.911695899
772	4.909462401
773	4.904705871
774	4.903356141
775	4.901340605
776	4.898039845
777	4.89799486
778	4.895669585
779	4.894031785
780	4.891543182
781	4.890106222
782	4.8893372
783	4.88664043
784	4.883439959
785	4.881493353
786	4.881272451
787	4.87786905
788	4.873928107
789	4.869831687
790	4.869795593
791	4.864419934
792	4.862904742
793	4.861750494
794	4.858043216
795	4.856352262
796	4.854012426
797	4.852130295
798	4.850906204
799	4.84586225
800	4.843710471
801	4.84116613
802	4.839037932
803	4.836741694
804	4.836737937
805	4.833199395
806	4.830019349
807	4.827465476
808	4.825496323
809	4.823820913
810	4.820617134
811	4.818864051
812	4.814213459
813	4.813203632
814	4.809280439
815	4.808302289
816	4.805460837
817	4.80339739
818	4.80039112
819	4.795394959
820	4.793309549
821	4.790977813
822	4.789827305
823	4.787159072
824	4.784554644
825	4.783856139
826	4.780657931
827	4.774195776
828	4.766608455
829	4.761577773
830	4.75873479
831	4.755437069
832	4.751842711
833	4.74903155
834	4.745213443
835	4.742116343
836	4.740231877
837	4.738053587
838	4.737943817
839	4.737004757
840	4.73474002
841	4.734689667
842	4.733120147
843	4.731684269
844	4.727963566
845	4.72542373
846	4.720459911
847	4.716473544
848	4.714182052
849	4.709016843
850	4.706891878
851	4.703963103
852	4.70021172
853	4.69752528
854	4.696017016
855	4.694677992
856	4.694640233
857	4.692577326
858	4.690013078
859	4.687160567
860	4.686815846
861	4.686021495
862	4.683470282
863	4.681176729
864	4.678107298
865	4.676376757
866	4.675239957
867	4.67262274
868	4.669750564
869	4.667557154
870	4.666228642
871	4.663102834
872	4.662203725
873	4.661340192
874	4.659679691
875	4.657366377
876	4.65371606
877	4.650880232
878	4.649476655
879	4.647658676
880	4.645404214
881	4.641979701
882	4.639875618
883	4.633880038
884	4.631781162
885	4.630059897
886	4.628530348
887	4.625558259
888	4.620908595
889	4.619720923
890	4.617728629
891	4.614587383
892	4.611343406
893	4.603721618
894	4.600990201
895	4.598491955
896	4.597344155
897	4.595332234
898	4.593145642
899	4.591966339
900	4.589848363
901	4.588638694
902	4.587886547
903	4.586534889
904	4.585515123
905	4.583274869
906	4.582456032
907	4.580203693
908	4.579334132
909	4.578428336
910	4.576192607
911	4.575562206
912	4.572741245
913	4.57003775
914	4.569034687
915	4.566742706
916	4.566540421
917	4.564425161
918	4.562418459
919	4.561029886
920	4.558205156
921	4.555534778
922	4.55376986
923	4.551416007
924	4.548821194
925	4.547106253
926	4.544441548
927	4.543134925
928	4.541921909
929	4.540208608
930	4.536840954
931	4.535039494
932	4.5334731
933	4.530478309
934	4.52895137
935	4.526004492
936	4.525379873
937	4.525290029
938	4.523981968
939	4.522330172
940	4.518530062
941	4.51726719
942	4.516003553
943	4.515305417
944	4.513875477
945	4.51272225
946	4.510596797
947	4.509680163
948	4.506800678
949	4.505745842
950	4.504100755
951	4.502278754
952	4.50005031
953	4.498125639
954	4.492408033
955	4.490736899
956	4.488919841
957	4.486132804
958	4.484588391
959	4.482429564
960	4.482346552
961	4.480092458
962	4.478446662
963	4.477646184
964	4.473841812
965	4.472455474
966	4.471185416
967	4.469982388
968	4.467122885
969	4.466176566
970	4.464895924
971	4.462628066
972	4.461699723
973	4.460257268
974	4.457398095
975	4.45393517
976	4.452172296
977	4.450212207
978	4.448163187
979	4.445129718
980	4.442737639
981	4.441073411
982	4.43997102
983	4.439040569
984	4.437369188
985	4.435708102
986	4.43392101
987	4.432117947
988	4.431469107
989	4.42754342
990	4.42461138
991	4.422557882
992	4.419576801
993	4.416526463
994	4.415856294
995	4.414510285
996	4.412997374
997	4.411224043
998	4.410122819
999	4.406561058
